BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,IMPACT_PREDICTORS,weather_events,average rain amount (inches),DATA_SOURCE
199601,19,1100,199601,19,1300,2403644,5541358,DISTRICT OF COLUMBIA,11,1996,January,Flash Flood,C,1,DISTRICT OF COLUMBIA,LWX,1/19/1996 11:00,EST,1/19/1996 13:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALL,NA,NA,ALL,NA,NA,NA,NA,"An unusually intense squall line, feeding on an unseasonably warm moist tropical air mass, dumped between 0.8 and 1.2 inches of rain in a two-hour period during the late morning of the 19th.  The rain fell on oversaturated soil, a result of the previous night's rapid snow melt, producing flash floods throughout the city.  During the overnight hours, the remaining water-logged snow pack of 3 to 6 inches was eaten away by strong southeasterly winds which carried low 60s temperatures and near 100 percent relative humidity into the area.Prior to the onset of heavy rain, numerous creeks and streams feeding the Anacostia and Potomac Rivers were near bank full due to the rapid snow melt.  Substantial flash flooding, in the form of overflowed creeks and streams and high standing water due to clogged storm drains, began around 1100EST and continued into the early afternoon.  Rock Creek sustained the most flooding, causing the closure of Beach Drive and the Rock Creek Parkway over much of its route through the city.  The flash flooding also inundated low-lying businesses and residences, and flooded several parking garages in Foggy Bottom and Georgetown.",NA,"road_closure, home_damage, infrastructure_damage","squall_line, tropical_moisture, snowmelt, wind_gusts",1,PDC
199606,18,30,199606,18,200,1014286,5561204,DISTRICT OF COLUMBIA,11,1996,June,Flash Flood,C,1,DISTRICT OF COLUMBIA,LWX,6/18/1996 0:30,EST,6/18/1996 2:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N PORTION,NA,NA,N PORTION,NA,NA,NA,NA,"Intense thunderstorms moved through the northeast half of Washington, causing a few road closures when low-lying areas flooded.  Most notably, flooding was reported on 16th street N.W. at 0030EST, and a bit later on South Capitol St.",NA,road_closure,thunderstorm,,PDC
199606,20,2200,199606,20,2300,2040906,5561207,DISTRICT OF COLUMBIA,11,1996,June,Flash Flood,C,1,DISTRICT OF COLUMBIA,LWX,6/20/1996 22:00,EST,6/20/1996 23:00,0,0,0,0,30K,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NORTHWEST,NA,NA,NORTHWEST,NA,NA,NA,NA,"A rapidly developing thunderstorm knocked down numerous trees and large limbs in upper Northwest.  Some of the trees fell onto automobiles.  The associated torrential rains flooded Rock Creek and other low-lying areas in Northwest.  Portions of the adjacent parkway were closed for up to 24 hours following the storm, snarling the next morning's and evening's rush.  Potomac Electric Power Co. reported 4500 residents in the District and adjacent Maryland suburbs without power.",NA,"road_closure, power_outage",thunderstorm,,PDC
199609,6,1200,199609,6,1800,2049837,5572405,DISTRICT OF COLUMBIA,11,1996,September,Flash Flood,C,1,DISTRICT OF COLUMBIA,LWX,9/6/1996 12:00,EST,9/6/1996 18:00,0,0,0,0,50K,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DOWNTOWN,NA,NA,DOWNTOWN,NA,NA,NA,NA,"Feeder bands of torrential tropical rains associated with the remnants of Hurricane Fran produced localized flash flooding and widespread power outages in the metropolitan area.  The heaviest rains fell from the city west, with totals ranging from 1.5 to 3.5 inches.  Minor flash flooding occurred downtown, and Beach Drive was closed for the afternoon as Rock Creek overflowed its banks.",NA,power_outage,"hurricane, tropical_moisture",2.5,PDC
199611,8,1600,199611,8,1715,2049872,5572790,DISTRICT OF COLUMBIA,11,1996,November,Flash Flood,C,1,DISTRICT OF COLUMBIA,LWX,11/8/1996 16:00,EST,11/8/1996 17:15,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CITYWIDE,NA,NA,CITYWIDE,NA,NA,NA,NA,"Several roads were briefly closed after torrential rains, associated with a strong cold front, produced scattered flooding across the city.  The westbound lanes of Independence Avenue were closed due to high standing water; Beach Drive was also closed near the Kennedy Center.  High standing water was also reported at the junction of Interstate 295 and South Capitol Street.",NA,"road_closure, infrastructure_damage","cold_front, heavy_rain",,PDC
199705,25,2100,199705,25,2259,2062509,5600268,DISTRICT OF COLUMBIA,11,1997,May,Flash Flood,C,1,DISTRICT OF COLUMBIA,LWX,5/25/1997 21:00,EST,5/25/1997 22:59,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPPER NORTHWEST,NA,NA,UPPER NORTHWEST,NA,NA,NA,NA,"Tropical moisture, feeding along a south moving cold front, produced training thunderstorms over portions of the Washington metropolitan region during the late evening of the 25th.  In general, between 3 and 4 inches of rain fell throughout the event, with at least 2 inches falling just prior to frontal passage around midnight.  One spotter in upper Northwest reported just over 4 inches of rain prior to midnight.  The rapid accumulation of water brought Rock Creek well out of its banks, with Beach Drive closed through late morning on the 26th.",NA,road_closure,"tropical_moisture, cold_front, thunderstorm",3.5,PDC
199806,23,2045,199806,23,2130,2082391,5658567,DISTRICT OF COLUMBIA,11,1998,June,Flash Flood,C,1,DISTRICT OF COLUMBIA,LWX,6/23/1998 20:45,EST,6/23/1998 21:30,0,0,0,0,10K,NA,BROADCAST MEDIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NORTHWEST PORTION,NA,NA,NORTHWEST PORTION,NA,NA,NA,NA,"A slow-moving line of thunderstorms dumped between 2.4 and 3 inches of rain over Washington and the immediate suburbs.  Rock Creek came out of its banks, and a vehicle with two occupants became stuck - requiring emergency rescue operations.",NA,"rescue, vehicle_loss",thunderstorm,2.35,PDC
199803,9,500,199803,9,1000,2074384,5632971,DISTRICT OF COLUMBIA,11,1998,March,Flash Flood,C,1,DISTRICT OF COLUMBIA,LWX,3/9/1998 5:00,EST,3/9/1998 10:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EAST PORTION,NA,NA,EAST PORTION,NA,NA,NA,NA,"A thunderstorm, dumping rainfall of 3/4 to 1 inch in the city shortly before dawn, exacerbated saturated soil conditions from the previous week's rains, causing spotty flash flooding and creating one of the slowest morning commutes in some time across the eastern half of the metropolitan area.  Automobile and rail traffic slowed to a near standstill through mid to late morning.  Flooding closed a stretch of Rock Creek Parkway between Virginia Avenue and P Street NW.   High standing water also closed the intersection of Helen Boroughs and Kenilworth Avenue NE.  Poor drainage induced other flooding in Anacostia.  Minor flooding near Union Station (NE) caused lengthy delays, especially for the commuter rain system.",NA,"road_closure, infrastructure_damage",thunderstorm,0.875,PDC
199802,4,1200,199802,5,1200,2073395,5635978,DISTRICT OF COLUMBIA,11,1998,February,Flash Flood,C,1,DISTRICT OF COLUMBIA,LWX,2/4/1998 12:00,EST,2/5/1998 12:00,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NORTHWEST PORTION,NA,NA,NORTHWEST PORTION,NA,NA,NA,NA,"A powerful nor'easter, laden with abundant tropical moisture from the Gulf of Mexico and the Caribbean, dumped between 2 and 4 inches of rain across the Washington DC metropolitan region from early morning of the 4th through late evening on the 5th.  In the city itself, storm totals ranged from 2 to 3 inches, with Reagan National Airport (DCA) recording 2.47 inches.  The 2.01 inches that fell on the 4th shattered the 66 year old record of 1.61 inches for the date.  Accompanying the rain were north to northeast winds which reached sustained values of 25 to 35 mph and gusted to 45 mph.Routine flooding, especially given the already saturated soil, caused portions of Rock Creek to exceed bankful and closed the adjacent Rock Creek Parkway for various lengths of time on the 4th and 5th.  The gusty winds may have uprooted a few trees and knocked some limbs down.  Power outages were scattered around the metropolitan region.",NA,"road_closure, power_outage","nor_easter, tropical_moisture, wind_gusts",2.47,PDC
199908,25,1700,199908,25,2100,2413456,5718781,DISTRICT OF COLUMBIA,11,1999,August,Flash Flood,C,1,DISTRICT OF COLUMBIA,LWX,8/25/1999 17:00,EST,8/25/1999 21:00,0,0,0,0,NA,NA,NEWSPAPER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COUNTYWIDE,NA,NA,COUNTYWIDE,NA,NA,NA,NA,A line of thunderstorms produced very heavy rain as it moved across Washington D.C. around 6:00 PM EDT.  Washington Reagan National Airport received 2.03 inches of rain from the storms.  Dry soil from drought conditions made most of the rainfall run off into low lying areas and roads.  Rapidly rising water forced officials to close Rock Creek Parkway and the South Capitol Street entrance to Interstate 395 during the evening rush hour.,Major streets closed by high water,"road_closure, infrastructure_damage",thunderstorm,2.03,PDC
